,unit,station,line,availability,comments
19,ES333,Myrtle-Wyckoff Avs,LM,55.24%,"This escalator was out of service from 5/16/19 to 6/18/19 for rehabilitation.  The following items werereplaced - counter shaft chain tension sprocket, right and left handrail chains, and the upper stepdemarcation light.  In addition, to this the upper and lower comb carriers were adjusted; the escalator wastested and returned to service."
20,ES335,West 8 St-NY Aquarium,FQ,76.23%,This escalator was out of service from 4/22/19 to 4/27/19 due to defective handrail speed sensor.  The left handrail speed sensor was replaced and the left handrail tension was adjusted; the escalator was tested and returned to service. The escalator was also out of service from 5/10/19 to 5/12/19 to troubleshoot excessive motor noise. The matrix brake was determined to be the cause of the noise and replaced; the escalator was tested and returned to service.
21,ES346,Brighton Beach,BQ,77.56%,"This escalator was out of service from 4/12/19 to 4/18/19 due to not being able to be moved on inspection. The escalator speed sensor assembly was replaced and the step chain locking device switch conduit was repaired.  The cooler inside of the inspection inverter device was found to be rusted and stuck because of the humidity.  The inverter cooling fan was replaced, and brackets were fabricated for the installation of a secondary inverter cooling fan.  Finally, the gear case oil sensor wiring conduit was repaired; the escalator was tested and returned to service."
22,ES349,Smith 9 St,FG,0.00%,"This escalator is out of service from 3/3/19 due to rehabilitation. The top landing bull gear was removed and repaired, the lower landing step chain tension device was removed and repaired, the step chain was replaced, the steps and axles are being replaced. The escalator currently remains out of service."
23,ES101,125 St,1,79.64%,"This escalator had various outages due to activation on the lower comb impact safety device. The lower comb impact safety device was inspected, tested and the escalator was returned to service. The escalator was out of service from 6/13/19 to 6/17/19 due to a safety check and related work. The escalator safety check and related work were completed; the escalator was tested and returned to service. The escalator was out of service from 6/19/19 to 6/24/19 due to a defective main line breaker. The main line breaker was replaced; the escalator was tested and returned to service."
24,ES102,125 St,1,73.00%,"This escalator was out of service from 4/15/19 to 4/20/19 for a safety check and related work. The safety check and related work were completed; the escalator was tested and returned to service. The escalator has had multiple outages for comb impact, skirt switch and up thrust safety devices being activated. Each time these faults were reset, and the escalator was returned to service. Further work is required and will be planned to mitigate these repeated failures and improve the reliability and availability of this escalator."
25,ES115,145 St,BD,83.58%,This escalator was out of service from 5/30/19 to 6/3/19 for a safety check and related repair work. The escalator has had repeated outages for handrail speed sensor faults and the activation of the emergency stop buttons due to vandalism. Additional work is required to correct the handrail speed sensor faults in order to mitigate the repeated failures and improve the escalator reliability and availability.
26,ES116,145 St,BD,62.51%,"This escalator had various outages for combstop safety device activations and activation of the emergency stop button due to vandalism and break release safety device failures. The escalator was out of service from 4/18/19 to 5/1/19 due to a safety check and related work. The combstop and comb impact safety devices were adjusted, a gear case seal was replaced; the escalator was tested and returned to service. The escalator was out of service from 5/15/19 to 5/19/19 for the replacement of the brake coil and sensors. The brake coil and sensors were replaced and adjusted; the escalator was tested and returned to service."
27,ES117,181 St,A,51.13%,"This escalator was out of service from 3/28/19 to 5/10/19 due to various repair work. The lower step chain assembly was removed and sent to the vendor for repairs, Support members for tracks were repaired, tracks were adjusted, combstops and comb impacts safety devices were adjusted, the controller was repaired; the escalator was tested and returned to service."
28,ES209,Grand Central-42 St,7,66.95%,"This escalator was out of service from 4/8/19 to 5/1/19 due rehabilitation. The top landing bull gear was removed and repaired, the lower landing step chain tension device was removed and repaired, the step chain was replaced, the steps were replaced, tracks were inspected and adjusted; the escalator was tested and returned to service."
29,ES210,Grand Central-42 St,7,70.77%,"This escalator was out of service from 4/8/19 to 5/1/19 due to rehabilitation on ES209. this escalator operates in tandem with ES209. During the rehab of ES209 the tracks were inspected and adjusted as needed, the upper landing combstop and impact safety devices were inspected and adjusted; the escalator was tested and returned to service."
30,ES211,59 St,456,34.58%,"This escalator was out of service from 4/12/19 to 6/1/19 due to rehabilitation. The top landing bull gear was removed and repaired, the lower landing step chain tension device was removed and repaired, the step chain was replaced, the steps were replaced, tracks were inspected and adjusted; the escalator was tested and returned to service."
31,ES215,Lexington Av-59 St,NQRW,82.14%,"This escalator was out of service from 5/21/19 to 6/4/19 for a safety check and related repairs. The lower landing step load and return extension tracks were replaced and adjusted, the upper and lower landing combstop and impact safety device were adjusted; the escalator was tested and returned to service."
32,ES217,Times Sq-42 St,7,61.98%,"This escalator was out of service from 4/11/19 to 4/17/19 due to a safety check and related work. The skirt switch was adjusted, the combstops and impact safety devices were adjusted; the escalator was tested and returned to service. The escalator has had multiple repeated failures for combstop activations at the lower landing. The escalator was removed from service between 6/10/19 to 6/13/19 for the repeated failures of the combstop safety device. The step chain tension and spring tension rod was damaged which caused the comb carrier to lift at the lower landing activating the combstop safety device. The step chain tension rod was replaced and adjusted; the escalator was tested and returned to service."
33,ES218,Times Sq-42 St,7,78.24%,This escalator was out of service from 6/6/19 to 6/14/19 due to the replacement of the left handrail. The escalator has had multiple outages due to the activation of the motor under speed fault. Further work is required to correct repeated failures to the motor under speed safety device in order to improve the escalator reliability and availability.
34,ES229,34 St-Herald Sq,BDFM,81.69%,"This escalator was out numerous times for the activation of the comb impact safety device at the lower landing. The escalator was out of service but not limited to the following dates: 4/14/19 to 4/15/19, 5/16/19- 5/19/19. The escalator was also out from 6/6/19 to 6/10/19 due to an escalator safety check and related work. The combstops and impact safety devices were adjusted; the escalator was tested and returned to service. The escalator continues to have repeated failures due to the lower comb impact safety device activations. Further work is required to correct repeated failures to the lower landing comb impact safety devices in order to improve the escalator reliability and availability."
35,ES231,34 St-Herald Sq,BDFM,82.26%,This escalator was out of service from 4/7/19 to 4/10/19 for the replacement of the brake pads and repairs to a controller module. The repairs were completed; the escalator was tested and returned to service. The escalator was out of service from 4/22/19 to 4/26/19 due to the replacement of the countershaft handrail chain. The countershaft chain was replaced and adjusted; the escalator was tested and returned to service. The escalator continues to have lower step up thrust safety device activations. The step up thrust safety device requires further investigating to mitigate the repeated failures in order to improve reliability and availability of the escalator.
36,ES232,34 St-Herald Sq,BDFM,77.19%,"This escalator was out of service from 4/10/19 to 4/11/19 due to the replacement of the countershaft handrail chain. The countershaft chain was replaced and adjusted; the escalator was tested and returned to service. The escalator was out of service from 5/7/19 to 5/9/19 for an escalator safety check and related work. The main drive chain switch was replaced, and the combstops and impact safety devices were adjusted; the escalator was tested and returned to service. The escalator was out of service from 5/25/19 to 6/3/19 due to a customer accident. During the accident investigation the left handrail was observed to be damaged. The left handrail was replaced; the escalator was tested and returned to service."
37,ES236,34 St-Herald Sq,BDFM,69.47%,"This escalator was out of service from 4/1/19 to 4/25/19 due to the replacement of the escalator gear case. The gear case was removed and sent to the vendor for repairs. The gear case was repaired, installed and adjusted; the escalator was tested and returned to service."
38,ES242,5 Av-53 St,EM,83.33%,"This escalator was out of service from 5/25/19 to 6/4/19 due to a safety check and related repair work. The escalator inverter was replaced, the escalator tracks were adjusted, the combstop and comb impact safety devices were adjusted, the step chain tension device was adjusted; the escalator was tested and returned to service."
39,ES246,Lexington Av-53 St,EM,79.00%,"This escalator was out of service from 4/30/19 to 5/3/19 for repairs. The right handrail pressure roller was replaced and adjusted, the handrail speed sensor safety devices were repaired, the combstop and comb impact safety devices were adjusted; the escalator was tested and adjusted. The escalator was removed from service various times for maintenance repairs to the gear case seals, combstop and comb impact safety device adjustments; the escalator was tested and returned to service. There are still repeated outages to the combstop and comb impact safety devices. Further work is required in order to mitigate the failures and improve the escalator reliability and availability."
40,ES249,Lexington Av-59 St,NRW,81.31%,"This escalator has had excessive outages due to the activation of the combstop, comb impact, skirt switches and step up thrust safety devices. The steps will need to be shimmed to minimized step shifting which causes all these failures."
41,ES256,Grand Central-42 St,4567S,70.21%,"This escalator has had excessive outages due to activations of the brake safety device. Repair work was done to the brake lines, but it continues to fail. The whole brake system will need to be replaced. Further work is required in order to mitigate the failures and improve the escalator reliability and availability. This escalator is in the 2015-2019 Capital Program for replacement and will be replaced this year."
42,ES269,Lexington Av-53 St,EM,84.75%,"This escalator was removed from service between 5/13/19 to 5/14/19 and 5/17/19 to 5/23/19 in order to replaced damaged step chain wheels, adjust tracks and replace defective steps; the escalator was tested, monitored and returned to service on each outage. The escalator was removed from service between 6/18/19 to 6/19/19 in order to adjust the main drive chain. The escalator has had various outages due to the activation of the emergency stop button, combstop safety device and step up thrust safety device; the escalator was tested, monitored and returned to service."
43,ES285,72 St,Q,65.94%,This escalator was out of service from 4/1/19 to 4/29/19 due to a wreck. The tracks at the upper landing were replaced and the broken steps were repaired. The combstop and comb impact safety devices were also adjusted; the escalator was tested and returned to service.
44,ES295,72 St,Q,81.02%,This escalator was out of service between 4/11/19 to 4/18/19 due to an escalator safety check and related repair work. The combstop and comb impact safety devices were adjusted as well as the top skirt switch safety devices; the escalator was tested and returned to service. The escalator had repeated outages for the right handrail speed failure. On 6/10/19 the right handrail chain was adjusted; the escalator was tested and returned to service. The escalator was out of service from 6/12/19 to 6/17/19 for a planned annual cleaning.
45,ES327,Delancey St,F,77.26%,This escalator was out of service from 4/19/19 to 5/5/19 due to handrail on the left side was cracked and five broken step threads.  The handrail and steps were replaced; the escalator was tested and returned to service.
46,ES351,Whitehall St,RW,81.51%,This escalator was out of service from 5/10/19 to 5/20/19 due to a defective soft starter and defective VSC card. The Soft Starter was replaced along with VSC card; the escalator was tested and returned to service.
47,ES364,Fulton St,45,81.95%,"This escalator was out of service from 4/16/19 to 4/20/19 for handrail replacement; the escalator was tested and returned to service. This escalator was out of service multiple times due to ""Upper Comb Impact"" fault.  On 6/20/19 the top right horizontal comb impact switch was found loose. The switch was adjusted and secured.  The horizontal and vertical springs were adjusted and the skirt was adjusted, allowing for normal operation of the comb carrier; the escalator was tested and returned to service."
48,ES403,Lexington Av-63 St,FQ,84.64%,This escalator was out of service from 5/6/19 to 5/11/19 for handrail replacement. The handrail was replaced; the escalator was tested and returned to service.
49,ES411,Roosevelt Island,F,78.63%,This escalator was out of service from 4/20/19 to 4/22/19 due to missing step chain rollers. The step chain rollers were replaced; the escalator was tested and returned to service. The escalator was out of service from 6/18/19 to 6/19/19 because of defective step chain wheels. The step chain wheels were replaced; the escalator was tested and returned to service.
50,ES413,Roosevelt Island,F,35.72%,The escalator is currently out of service from 6/2/19 due to a escalator rehabilitation. The step chain is currently being replaced and the carriage needs to be repaired. The escalator remains out of service.
51,ES622,34 St-Hudson Yards,7,68.64%,"The escalator was out of service from 4/15/19 to 4/24/19 to repair and adjust the combstop and impact safety devices. The controller was also repaired due to a loose wire. The sprinkler system failed and caused a flood. The water was pumped out and the sprinkler system was repaired; the escalator was tested and returned to service. The escalator was out of service between 5/17/19 to 5/23/19 due to a safety check and related repair work. The combstop safety device was adjusted, the left handrail chain was replaced and adjusted; the escalator was tested and returned to service."
52,ES623,34 St-Hudson Yards,7,83.18%,"The escalator was out of service numerous times for various reasons. The left handrail chain was replaced and adjusted, the combstop and comb impact safety devices had repeated activations. The upper landing comb impact safety device continues to be a problem. Further work is required at the top landing comb impact safety device in order to mitigate the repeated failures and improve the reliability and availability of the escalator."
53,ES628,34 St-Hudson Yards,7,74.12%,"The escalator was out of service from 4/15/19 to 4/29/19 due to brake failures. The # 2 brake was replaced and adjusted as well as the brake sensors, Steps were inspected due to shifting and worn step spacers were replaced; the escalator was tested and returned to service. The escalator was out of service from 6/11/19 to 6/18/19 due to an escalator safety check and related work. The main drive chain was adjusted, the lower landing combstop safety device was adjusted and tested as well as the step up thrust safety device; the escalator was tested and returned to service."
54,ES437,Sutphin Blvd-Archer Av-JFK,EJZ,81.65%,This escalator was out of service from 5/4/19 to 5/15/19 because it failed a safety inspection.  All defects were corrected; the escalator was tested and returned to service.
55,ES439,Jamaica Center,EJZ,54.14%,"The escalator was out of service from 5/7/19 to 6/11/19 due to a escalator rehabilitation. The carriage was removed and repaired, the step chain was replaced, the steps were replaced, tracks were inspected and adjusted; the escalator was tested and returned to service."
56,ES448,Woodside-61 St,7,60.91%,"This escalator was out of service from 4/19/19 to 5/3/19 because it failed a safety inspection.  The handrail was replaced, the comb impact and comb stop were adjusted and a tripping hazard was corrected; the escalator was tested and returned to service."
57,ES449,74 St-Broadway,7,82.51%,This escalator was out of service from 4/15/19 to 4/23/19 planned repairs  Defects were corrected; the escalator was tested and returned to service. The escalator was out of service from 6/25/19 to 6/27/19 for step tab inspection. Defective axles were replaced; the escalator was tested and returned to service.
58,ES450,74 St-Broadway,7,82.55%,"The escalator was out of service from 3/8/19 to 4/7/19 due to extensive repairs. The carriage was removed and repaired, the step chain was replaced, the steps were replaced, tracks were inspected and adjusted; the escalator was tested and returned to service."
59,ES455,Flushing-Main St,7,79.72%,This escalator was out of service from 4/13/19 to 4/24/19 because it failed a safety inspection. New steps were installed to correct excessive step gaps; the escalator was tested and returned to service.
60,ES456,Flushing-Main St,7,57.43%,"The escalator was out of service from 2/20/19 to 5/3/19 due to rehabilitation. The head shaft bearings were removed and repaired, the step chain was replaced, the steps were replaced, tracks were inspected and adjusted; the escalator was tested and returned to service."
61,ES457,Flushing-Main St,7,19.92%,The escalator was out of service from 4/22/19 to 7/2/19 due to extensive escalator repairs. The gearcase were removed and replaced; the escalator was tested and returned to service.
